prompt,response,label
"In today's competitive job market, soft skills often outweigh hard skills when it comes to professional success. While technical expertise is important, it's the mastery of soft skills that truly sets individuals apart. Professional development courses focusing on these skills can be the difference between simply doing a job and excelling in a career.","Soft skills like communication, leadership, and emotional intelligence are the building blocks of a successful professional life. Good interviewing and resume writing skills can enhance your chances of grabbing your dream job by many folds. They enable you to lead teams effectively, manage conflicts with ease, and communicate your ideas with clarity and confidence. In a world where collaboration and adaptability are key, these skills are not just desirable but essential. Employers are increasingly recognizing that technical skills can be taught, but soft skills are what drive long-term success and career growth.",chat
Investing in professional development courses is not just about improving your resume—it's about becoming a well-rounded professional capable of navigating the complexities of the modern workplace. GUVI (Grab Your Vernacular Imprint),An HCL Group Company | 3M+ Learners | 19 Languages | 1000+ Hiring Companies,chat
Master Tech Skills in your Native Language,Location: Chennai & Noida,chat
"Established in 2014 and acquired by the HCL Group in 2022, GUVI is dedicated to providing effective and high-quality learning and skilling programs that transcend language barriers in technology education. GUVI today is trusted by over 3 million learners and 2000+ corporate partners. To learn more, please visit www.guvi.in.",Website,chat
http://www.guvi.in,Verified page,chat
"June 16, 2023",Industry,chat
Education Administration Programs,Company size,chat
"501-1,000 employees","1,327 associated members LinkedIn members who’ve listed HCL GUVI as their current workplace on their profile.",chat
Headquarters,"Chennai, Tamilnadu",chat
Specialties,"coding classes, online coding classes, free coding classes, live coding classes, vernacular coding classes, and native language coding classes",chat
"It seems that you'd like information about GUVI Geek. However, the provided context and permissions relate specifically to data science courses, and I can only respond to inquiries linked to that course key. If you require specific information or assistance related to your data science course or any other associated details, feel free to ask, and I'll be glad to assist!","If your inquiry about GUVI Geek relates to data science courses they offer, please specify so I can provide the most relevant information. Otherwise, please refer to general sources or directly to their website for information unrelated to the data science course.",chat
Let me know how I can assist you further with your data science course or other related questions!,Is GUVI free or paid?,chat
"GUVI - Free Resources. High-Quality Free Online Learning Materials to Upskill your Career! Access a wide range of free resources on Full Stack Development (FSD), UI/UX, Digital Marketing, Data Science, Business Analytics & Digital Marketing (BADM), AI & Machine Learning (AIML), and many more.",Is a GUVI certificate valid?,chat
Yes they are valid! Apart from the certificates you gain through the courses there is a module called Codekata that can actually drive you through hiring opportunities. Learn to code in your native language…,Is GUVI owned by HCL?,chat
"Established in 2014 and acquired by the HCL Group in 2022, GUVI is dedicated to providing effective and high-quality learning and skilling programs that transcend language barriers in technology education.","GUVI (Grab Your Vernacular Imprint) Geek Network Private Limited is a leading online learning and skills development company, incubated by IIT Madras and IIM Ahmedabad.",chat
"Established in 2014 and acquired by the HCL Group in 2022, GUVI is dedicated to providing effective and high-quality learning and skilling programs that transcend language barriers in technology education. GUVI today is trusted by over 3 million learners and 2000+ corporate partners.",Can I get a free certificate from GUVI?,chat
"GUVI's free courses come with globally recognized certificates from top institutions like IIT-Madras. These free courses are the best choice for beginners, students, freshers, or professionals looking to gain a new skill at their own pace, without spending anything.",Top,chat
What is GUVI full form?,"GUVI (Grab Your Vernacular Imprint) Geek Network Private Limited is a leading online learning and skills development company, incubated by IIT Madras and IIM Ahmedabad.",chat
Terms of Service,"Welcome to GUVI website registered under the name of GUVI GEEK Network Pvt limited. (""GUVI"", ""Company"", ""we"", or ""us""), IITM's Rural Technology and Business Incubator (RTBI) Module #6, I Floor IITM Research Park, Kanagam Road, Taramani, Chennai - 600113. By using GUVI products, software-enabled developer recruitment platform services, or services (""GUVI services""), you agree to the following terms and conditions, and any privacy policies, legal notices, or other applicable policies and guidelines that may be presented to you (collectively, these ""Terms of Service"") from time to time.",chat
"Please read the Terms of Service carefully. If you do not want to agree to these Terms of Service, you must not access the GUVI services.",Acceptance of the GUVI Terms of Service:,chat
"Your access to the GUVI services is subject to these Terms of Service. GUVI reserves the right to update and change these Terms of Service from time to time without notice or acceptance by you although if we decide to materially change all or part of the GUVI Terms of Service we will, where reasonably possible, try to give you advance reasonable notice at your email address on record. Such modified Terms of Service will become effective upon the earlier of (i) your continued use of the GUVI service with actual knowledge of such modified Terms of Service, or (ii) thirty (30) days from publication of such modified Terms of Service on this page or the GUVI website.","Your use of the GUVI service is also subject to the GUVI Privacy Policy, which explains how we treat your personal information, and provides information about our data protection practices.",chat
"Any use of any of our GUVI fee-based subscription offerings is bound by these Terms of Service plus any additional terms and conditions which will be made available in a separate agreement agreed to by you, and those additional terms become part of your agreement with GUVI if you access that GUVI service.","By signifying your acceptance of these Terms of Service or making any use of the GUVI service, you signify your acceptance of these Terms of Service in effect at the time of your use. If you are an individual acting as a representative of a corporation or other legal entity which wishes to use the GUVI service, then you represent and agree that you have the authority to accept these Terms of Service on behalf of such corporation or other legal entity and that all provisions of these Terms of Service will bind that corporation or other legal entity as if it were named in these Terms of Service in place of you.",chat
"Definitions. For the purposes of these Terms of Service, the terms in this Section 2 shall have the meanings assigned to them.",“Candidate” means an individual a User invites to access the GUVI service.,chat
“User” or “Recruiter” means those individuals having registered accounts with a user identification name and password.,“GUVI services” means the software for GUVI coding challenges and user interface software used to recruit and screen software developers that is hosted by GUVI hosting service provider and made available to you pursuant to these Terms of Service.,chat
"“Students” to connect with independent contractor instructors (the “Instructors”, collectively with Students, the “Users”) who provide live and recorded instruction, tutoring, and learning services (the “Courses”) via Our Services. The Services include, without limitation, facilitating and hosting Courses and supporting materials, and taking feedback from Users.","From time to time, We may update these Terms to clarify our practices or to reflect new or different practices, such as when We add new features, and GUVI reserves the right in its sole discretion to modify and/or make changes to these Terms at any time. If We make any material change to these Terms, We will notify You using prominent means such as by email notice sent to the email address specified in Your Account or by posting a notice through Our Services. Modifications will become effective on the day they are posted unless stated otherwise.",chat
Account Information and Service Access:,"The GUVI service is not available to persons under the age of thirteen (13) or to any Users or Candidates suspended or removed from the GUVI service by GUVI. By using the GUVI service, you represent and warrant that you are at least thirteen (13) years of age and that you are of legal age to form a binding contract and are not a person barred from receiving services under the laws of India or other applicable jurisdiction.",chat
"GUVI reserves the right to refuse registration of, or cancel, any account or access to the GUVI services by any User or Candidate in its reasonable discretion, at any time.","GUVI accounts will be accessed through a User ID and password that you will create (your “Credentials”). Your Credentials are solely for your use and must not be shared with other Users. All Users need to have their own account, User ID, and Credentials. You agree that your Credentials and information you provide upon registration and at all other times will be true, accurate, current, and complete (including your name and company name). You are responsible for maintaining the confidentiality of your account password, and for all activities that occur under your account. You agree to immediately notify GUVI of any unauthorized use of your account, password, Credentials, or any other breach of security. You agree that GUVI will not be liable for any loss or damage arising from your failure to provide us with accurate information or to keep your password secure.",chat
"Candidates shall access the Interview services when a User invites an individual, via email, to take a technical programming test (“Challenge”). The Candidate will be provided login credentials to access Challenge. Following completion of the Challenge, the Candidate’s access to the GUVI services shall terminate.","By participating in any GUVI promotional event or giving assent to any activity that requires an account on GUVI, your account will be automatically created.",chat
"Except as expressly permitted by GUVI, you agree that the GUVI services are to be accessed only for your or your company’s own internal business purposes and not for resale or unauthorized distribution to any third party.",Cookie Policy :,chat
GUVI neither store cookies nor use them for tracking user behavior anonymously. Cookies are only used to provide single sign on in QA platforms for better user experience. Cookies are generated only for the registered users.,"The cookies generated not shared or distributed to any partners or third parties, they solely serve the purpose of maintaining sessions within our platform. Information such as user behavior, interests, etc are neither stored nor used for any sort of commercial activities.",chat
Content:,"Content. The GUVI service provides certain features, which enables Users and Candidates to submit, post, and share data, text, software, graphics, messages or other material (""Content"") on the GUVI service. Content that Users or Candidates submit, post or share is subject to the terms and conditions of these Terms of Service. Content that you own and post on or through the GUVI service belongs to you and you may use it in any way, except as prohibited by applicable state and federal law or regulations. By using the GUVI service, you are granting GUVI and certain third parties permission to use Content as described in these Terms of Service.",chat
"Grant of license to GUVI. By using the GUVI service, you are granting GUVI a non-exclusive, worldwide, royalty-free, fully paid-up, sublicenseable, irrevocable and transferable right and license to use, host, store, reproduce, create derivative works of, distribute, modify, display, and communicate your Content on and through the GUVI service. If you post Content on or through the GUVI service, you represent and warrant that you have the right to post that Content and to grant the above rights to GUVI, so ensure that you have the necessary rights to grant GUVI this license for any Content you submit or post to the GUVI service. This license that you grant GUVI is for the limited purpose of operating, promoting, marketing improving and developing GUVI products and services (and derivative works thereof). This license continues even if you terminate your account and/or stop using the GUVI service. GUVI acknowledges that it will not acquire any other rights in any Content that you may upload or post to the GUVI service.","Use of Content. You understand that by posting your Content that you are responsible for your Content and any Content that you create, transmit or display while using the GUVI services and for any consequences thereof. You further agree that under no circumstances shall GUVI be liable for the errors or omissions of another User or Candidate who views your Content. Therefore, you represent and agree to all of the following and acknowledge that GUVI is explicitly relying on such representations and agreement with regard to your Content and use of Content made available on the GUVI service:",chat
"The Content represents your own original work and/or you have all necessary rights to disclose the Content. In doing so, you are not violating the rights of any third party and you know of no other individual or entity whose rights will be infringed or violated by the Content being viewed and used as described in these Terms of Service.","You agree to use GUVI services only for purposes that are legal, proper and in accordance with these Terms of Service. Your disclosure of your Content does not violate a confidential relationship with any third party or establish a confidential relationship with GUVI.",chat
"You understand that you are responsible for your Content that you upload, post, e-mail, transmit, or otherwise make available through the GUVI service. Except as permitted in these Terms of Service, you do not have the rights to use, reproduce, create derivative works of, distribute, publicly perform or publicly display any Content that does not belong to you, other than viewing of Content or the associated Challenge reports on or through the GUVI service.","Accuracy of Content. GUVI cannot and need not control all Content posted by Candidates or Users on or through the GUVI service, and it does not guarantee the accuracy, integrity or quality of such Content. You agree that under no circumstances will GUVI be liable in any way for any Content, including any errors or omissions in any Content, or any loss or damage of any kind incurred as a result of your use of any Content. You understand that you must evaluate and bear all risks associated with the use of any Content, including any reliance on the Content, integrity, and accuracy of such Content. GUVI does not endorse and is not responsible for the accuracy, usefulness, safety or relating to Content. YOU AGREE TO WAIVE, AND HEREBY DO WAIVE, ANY LEGAL OR EQUITABLE RIGHTS OR REMEDIES YOU HAVE OR MAY HAVE AGAINST GUVI WITH RESPECT THERETO.",chat
"Right to Remove or Edit User Content. GUVI reserves the right, in its reasonable discretion, to refuse to allow any Content through the GUVI services, or to edit or remove any Content at any time with or without notice. Without limiting the generality of the preceding sentence, GUVI complies with the Digital Millennium Copyright Act, and will remove Content upon receipt of a compliant takedown notice (see the ""Copyright Infringement"" section below).","User and Candidate Representations and Warranties. You are solely responsible for your own Content and the consequences of posting or publishing it. In connection with your Content, you affirm, represent, and warrant that: (i) you own, or have the necessary licenses, rights, consents, and permissions to use and authorize GUVI to use all patent, trademark, copyright, or other proprietary rights in and to your Content to enable inclusion and use of your Content in the manner contemplated by GUVI and these Terms of Service, and to grant the rights and license set forth above, and (ii) your Content, GUVI use of such User submissions pursuant to these Terms of Service, and exercise of the license rights set forth above, do not and will not: (a) infringe, violate, or misappropriate any third party right, including any copyright, trademark, patent, trade secret, moral right, Privacy Right, right of publicity, or any other intellectual property or proprietary right; (b) slander, defame, libel, or invade the right of privacy, publicity, or other property rights of any other person; (c) violate any applicable law or regulation; or (d) require obtaining a license from or paying fees or royalties to any third party for the exercise of any rights granted in these Terms of Service, including, by way of example and not limitation, the payment of any royalties to any copyright owners, including any royalties to any agency, collection society, or other entity that administers such rights on behalf of others.",chat
"Feedback. If you provide GUVI with any comments, bug reports, feedback, or modifications proposed or suggested by you on the GUVI services (""Feedback""), GUVI shall have the right to use such Feedback at its discretion, including, but not limited to the incorporation of such suggested changes into the GUVI service. You hereby grant GUVI a perpetual, irrevocable, non-exclusive license under all rights necessary to incorporate and use your Feedback for any purpose.",Code of Conduct:,chat
"Blocked Content. GUVI has the right, but not the obligation, to remove or block Content from the GUVI service that it determines in its reasonable discretion to be in violation of these Terms of Service, to be unlawful, offensive, threatening, libelous, defamatory, obscene or otherwise objectionable, that violates any party's intellectual property or that is detrimental to the quality or intended spirit of the GUVI service. GUVI also has the right, but not the obligation, to limit or revoke the use privileges of the account of any User or Candidate who posts such Content or engages in such behavior.","Disagreements. You alone are responsible for your interaction with other Users and Candidates via the GUVI service. If you have a dispute with one or more Users or Candidates or if you disagree with the results of a Challenge Report, your sole remedy is to cease using the GUVI service. You irrevocably and forever release GUVI (and GUVI's officers, directors, agents, subsidiaries, contractors, joint ventures and employees) from claims, demands and damages (actual and consequential) of every kind and nature, known and unknown, arising out of or in any way connected with such disputes.",chat
"Copyright Infringers. GUVI does not permit copyright infringing activities through the GUVI service and reserves the right to terminate access to the GUVI service and remove all content submitted by any persons who are found to be repeat infringers. Any suspected fraudulent, abusive, or illegal activity that may be grounds for termination of your use of the GUVI service may be referred to appropriate law enforcement authorities. These remedies are in addition to any other remedies GUVI may have at law or in equity.",Inappropriate Content. GUVI will use common business sense regarding behavior or Content allowed on or through the GUVI service. Examples of unacceptable Content or behavior include:,chat
"Abuse, harassment, threats, flaming or intimidation of any person or organization.","Uploading or sending to other Users or Candidates pornographic, threatening, embarrassing, hateful, racially or ethnically insulting, libelous, or otherwise inappropriate Content.",chat
"Uploading copyrighted material that is not your own or that you do not have the legal right to distribute, display, and otherwise make available to others.","Making unsolicited offers, advertisements, proposals, or sending junk mail (aka spam) to other Users or Candidates.",chat
"Impersonating another person or pretending to be affiliated with an organization with which you are not affiliated or misrepresenting the extent of your affiliated or role with an affiliated organization or the source, identity or Content transmitted.",Engaging in or contributing to any illegal activity or activity that violates others’ rights.,chat
"Use of derogatory, discriminatory or excessively graphic language.","Transmitting worms, viruses or harmful software.",chat
Disclosing the personal or proprietary information of another person or organization not otherwise permitted by applicable rules or law.,"Sharing GUVI accounts, User Credentials or Candidate login credentials with any third party or encouraging any other User or Candidate to do so.",chat
Who We Share Your Data With :,"We share certain data about you with instructors, other students, companies performing services for us, our business partners, analytics and data enrichment providers, your social media providers, companies helping us run promotions and surveys, and advertising companies who help us promote our Services. We may also share your data as needed for security, legal compliance, or as part of a corporate restructuring. Lastly, we can share data in other ways such as third parties to provide support throughout the platform such as payment and forum as of now.",chat
"When you voluntarily send us an electronic mail, we will keep a record of this information so that we can respond to you. We only collect information from you when you register on our site or fill out a form. Also, when filling out a form on our site, you may be asked to enter your name, e-mail address or phone number. You may, however, visit our site anonymously. In case you have submitted your personal information and contact details, we reserve the rights to Call, SMS, Email or WhatsApp about our products and offers, even if your number has DND activated on it.",Termination:,chat
"GUVI, in its reasonable discretion may terminate your account and/or user login credentials and remove and discard any Content within the GUVI service if GUVI believes that you have violated or acted inconsistently with the letter and spirit of these Terms of Service.","You may terminate your account, this Agreement and your right to use the GUVI service at any time and for any reason or no reason, by contacting GUVI user support at info@guvi.in. However, if you have a separate agreement with GUVI which has conflicting terms regarding termination, those terms shall take precedence over this Agreement.",chat
"After cancellation or termination of your account for any reason, you will no longer have access to your account and all information and Content in your account or that you have stored on the GUVI service may be, but is not required to be deleted by GUVI. GUVI will have no liability for information or Content that is deleted due to the cancellation or termination of your account for any reason.","Ownership; Proprietary Rights. The GUVI service is owned and operated by GUVI. The visual interfaces, graphics, design, compilation, information, computer code, products, software (including any downloadable software), services, and all other elements of the GUVI service provided by GUVI (""Materials"") are protected by Indian copyright, trade dress, patent, and trademark laws, international conventions, and all other relevant intellectual property and proprietary rights, and applicable laws. Except for any third party content or Content uploaded by you, all Materials are the copyrighted property of GUVI or its subsidiaries or affiliated companies and/or third party licensors. All trademarks, service marks, and trade names are proprietary to GUVI or its affiliates and/or third party licensors. Except as expressly authorized by GUVI, you agree not to sell, license, distribute, copy, modify, publicly perform or display, transmit, publish, edit, adapt, create derivative works from, or otherwise make unauthorized use of the Materials.",chat
"Third Party Websites and Services. The GUVI services may include links to third party web sites or services (""Linked Sites"") solely as a convenience to Users and Candidates. GUVI does not endorse any such Linked Sites or the information, material, products, or services contained on other Linked Sites or accessible through other Linked Sites. Furthermore, GUVI makes no express or implied warranties with regard to the information, material, products, or services that are contained on or accessible through Linked Sites. Access and use of Linked Sites, including the information, material, products, and services on Linked Sites or available through Linked Sites, is solely at your own risk.",Disclaimers/ No Warranties & Limitation of Liability:,chat
"EXCEPT AS MAY BE SET FORTH IN ANY SEPARATE SIGNED AGREEMENT BY GUVI AND YOU, THE GUVI SERVICE IS PROVIDED ""AS IS"" WITH NO REPRESENTATIONS OR WARRANTIES OF ANY KIND, EXPRESS, STATUTORY OR IMPLIED, AS TO THE OPERATION OF THE GUVI SERVICE, OR THE INFORMATION, CONTENT, MATERIALS, OR PRODUCTS INCLUDED ON THE GUVI SERVICE. TO THE FULLEST EXTENT PERMISSIBLE BY APPLICABLE LAW, GUVI AND ITS AFFILIATES, IF ANY, DISCLAIM ALL WARRANTIES, EXPRESS, STATUTORY, OR IMPLIED, INCLUDING, BUT NOT LIMITED TO, IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NON-INFRINGEMENT. FURTHER, GUVI AND ITS AFFILIATES DO NOT WARRANT THE ACCURACY OR COMPLETENESS OF THE INFORMATION, TEXT, GRAPHICS, LINKS OR OTHER INFORMATION CONTAINED IN THE GUVI SERVICE. SOME JURISDICTIONS DO NOT ALLOW LIMITATIONS ON IMPLIED WARRANTIES, SO THE ABOVE LIMITATIONS MAY NOT APPLY TO YOU. EXCEPT AS MAY BE SET FORTH IN ANY SEPARATE SIGNED AGREEMENT BETWEEN GUVI AND A YOU, GUVI DOES NOT WARRANT THAT THE GUVI SERVICE WILL BE AVAILABLE AT ANY TIME OR FROM ANY PARTICULAR LOCATION, WILL BE SECURE OR ERROR-FREE, THAT DEFECTS WILL BE CORRECTED, OR THAT THE GUVI SERVICE IS FREE OF VIRUSES OR OTHER POTENTIALLY HARMFUL COMPONENTS. NO ADVICE OR INFORMATION, WHETHER ORAL OR WRITTEN, OBTAINED FROM GUVI OR THE GUVI SERVICE SHALL CREATE ANY WARRANTY NOT EXPRESSLY STATED IN THESE TERMS OF SERVICE.","EXCEPT AS MAY BE SET FORTH IN ANY SEPARATELY SIGNED AGREEMENT BETWEEN GUVI AND YOU, NEITHER GUVI NOR ITS AFFILIATES WILL BE LIABLE, UNDER ANY THEORY OF LAW, FOR ANY INDIRECT, INCIDENTAL, PUNITIVE, OR CONSEQUENTIAL DAMAGES, INCLUDING, BUT NOT LIMITED TO LOSS OF PROFITS OR, BUSINESS INTERRUPTION, AND/OR LOSS OF INFORMATION OR DATA. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OR LIMITATION OF INCIDENTAL OR CONSEQUENTIAL DAMAGES, SO THE ABOVE LIMITATIONS AND EXCLUSIONS MAY NOT APPLY TO YOU. NOTWITHSTANDING ANYTHING TO THE CONTRARY CONTAINED HEREIN, GUVI'S MAXIMUM AGGREGATE LIABILITY TO YOU FOR ANY CAUSES WHATSOEVER, AND REGARDLESS OF THE FORM OF ACTION, WILL AT ALL TIMES BE LIMITED TO THE GREATER OF (i) THE AMOUNT PAID, IF ANY, BY YOU TO GUVI FOR THE GUVI SERVICE IN THE SIX (6) MONTHS PRIOR TO THE ACTION GIVING RISE TO LIABILITY OR (ii) ONE HUNDRED DOLLARS ($100.00).",chat
"Indemnification You agree to indemnify and hold GUVI Incorporation, its affiliated companies, suppliers, partners, officers, contractors and employees harmless from any claim or demand made by any third party due to or arising out of (i) your actions in using the GUVI service, (ii) a claim that you, or any third party using your Credentials, infringed any intellectual property or other right of any person or organization using the GUVI service, or (iii) the violation of these Terms of Service by you or any third party using your Credentials. GUVI reserves the right, at our own expense, to assume the exclusive defense and control of any matter for which you are required to indemnify us, and you agree to cooperate with our defense of these claims. This indemnity shall not apply if a third party uses your Credentials due to an act or omission of GUVI.","Modifications to Prices. Prices of all fee-based GUVI services are subject to change. If they do change, the changes shall only take effect for any subsequent subscription periods you choose to purchase.",chat
Miscellaneous:,"These Terms of Service will remain in full force and effect while you use the GUVI service. Those terms that can continue to operate after you stop using the GUVI service (including without limitation your Content license to GUVI service and the General Terms in this Section), will survive after you stop using the GUVI service.",chat
Statute of Limitations. You agree that regardless of any statute of law to the contrary or any claim or cause of action arising out of or related to use of GUVI services or the Terms of Service must be filed within one (1) year after such claim or cause of action arose or be forever barred.,"Notices. You agree that GUVI may provide you with notices, including those regarding changes to the Terms of Service, by email, regular mail or by posting on the website hosting the GUVI services.",chat
"Waiver/Severability. The failure of GUVI to exercise or enforce any right or provision of the Terms of Service shall not constitute a waiver of such right or provision. If any provision of the Terms is found by a court of competent jurisdiction to be invalid, the parties nevertheless agree that the court should endeavor to give effect to the parties' intentions as reflected in the provision, and the other provisions of the Terms of Service shall remain in full force and effect.",Assignment. You may not assign your account to the GUVI service or any rights and licenses granted hereunder and such any assignment by you will be null and void.,chat
Survivability. All sections of these Terms that by their respective nature should survive the cancellation or termination of these Terms of Service shall survive the termination or cancellation of these Terms of Service. You agree that breach of these provisions will cause irreparable harm and that accordingly GUVI may seek injunctive relief in addition to any other legal remedies under these Terms of Service at law or equity.,"No Third Party Beneficiaries. You agree that except as otherwise expressly provided for in these Terms of Service, there shall be no third party beneficiaries to the Terms of Service.",chat
"Choice of Law/Forum. These Terms of Service (including any additional terms, conditions, policies and agreements incorporated herein) are the entire agreement between GUVI and you regarding the GUVI service. Any dispute arising from or related to these Terms of Service shall be subject to the ruling of an applicable court of competent jurisdiction, shall be settled by binding arbitration in County and administered by the Government and conducted by a sole arbitrator in accordance with Commercial Arbitration Rules. The Federal Arbitration Act, shall govern the arbitration to the exclusion of state laws inconsistent therewith or that would produce a different result, and any court having jurisdiction thereof may enter judgment on the award rendered by the arbitrator. Except as may be required by law or to the extent necessary in connection with a judicial challenge, or enforcement of an award, neither a party nor the arbitrator may disclose the existence, content, record, or results of an arbitration. Fourteen (14) calendar days before the hearing, the parties will exchange and provide to the arbitrator: (a) a list of witnesses they intend to call (including any experts) with a short description of the anticipated direct testimony of each witness and an estimate of the length thereof and (b) pre-marked copies of all exhibits they intend to use at the hearing. Deposition for discovery purposes shall not be permitted.",Contact Us,chat
GUVI's Grievance Officer shall undertake all reasonable efforts to address your grievances at the earliest possible opportunity. For contact:,Grievance Officer: Mr.Muruganantham,chat
"Address: IITM Research park - phase 2, module #9, 3rd floor, D block, Kanagam Rd, Tharamani, Chennai, Tamil Nadu, India. 600113","Reach out to us on muruganantham@guvi.in, in case of any queries.",chat
ZEN CLASS,LIVE CLASS,chat
Full Stack Development,Automation & Testing,chat
Data Science,UI/UX,chat
DevOps,Data Engineering,chat
Business Analytics with Digital Marketing,All Programs,chat
Popular Courses,Python - IIT-M Pravartak Certified,chat
Java,Mobile Hacking,chat
C Programming,AWS,chat
Angular,Dark Web,chat
All Courses,Self-Paced Courses,chat
Premium Pass,Paid Courses,chat
Free Courses,Combos,chat
Practice Platforms,CodeKata,chat
WebKata,SQLKata,chat
Debugging,IDE,chat
Products,HackerKID,chat
Placement Preparation,GUVI for Corporates,chat
Studytonight,Resources,chat
Success Stories,Learn Hub,chat
Free Resources,New,chat
Blog,Web Stories,chat
Rewards,Refer a friend,chat
Become an Affiliate,Company,chat
Refund Policy,FAQs,chat
Contact Us,About Us,chat
guvi-logo,"GUVI (Grab Your Vernacular Imprint) Geek Network Private Limited is a leading online learning and skills development company, incubated by IIT Madras and IIM Ahmedabad.",chat
"Established in 2014 and acquired by the HCL Group in 2022, GUVI is dedicated to providing effective and high-quality learning and skilling programs that transcend language barriers in technology education. GUVI today is trusted by over 3 million learners and 2000+ corporate partners.",Follow us on,chat
facebook,instagram,chat
linkedIn,twitter,chat
telegram,youtube,chat
app store,play store,chat
Refer & Earn,Terms and Conditions,chat
Privacy Policy,GUVI Geeks Network Pvt. Ltd.,chat
Gift Icon,Unlock Your Exclusive Rewards!,chat
You have exclusive rewards which you can unlock by earning Geekoins. Explore your rewards now!,Later,chat
Categories,Education website,chat
Contact info,097360 97320,chat
Mobile,info@guvi.in,chat
Email,Websites and social links,chat
https://www.guvi.in/,Basic info,chat
96% recommend (29 reviews),Always open,chat
Hours,About GUVI,chat
"Guvi is an IIT-M , IIM-A incubated company located at IITM Research Park Chennai. We help students easily master   any programming skills so that they can acquire and effectively apply the knowledge and skills necessary to thrive in their careers","We offer practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace.",chat
We also offer in-class Full Stack Developer Course with Job assurance.,VIsit www.guvi.in for more info,chat
Page transparency,Facebook is showing information to help you understand the purpose of this Page.,chat
386984684662653,Page ID,chat
8 March 2012,Creation date,chat
Admin info,"This Page can have multiple admins. They may have permission to post content, comment or send messages as the Page.",chat
This Page is currently running ads.,Reviews,chat
Privacy and legal info,"GUVI is an integrated Edu-tech Platform for technology Skills providing a personalized & Interactive learning experience through personalized assessments, gamification & bite sized video contents in Vernacular Languages.  Also we help the learner find the right Jobs, all through our platform. See less",chat
How do I contact GUVI support?,"Yes, many courses are available in Tamil and other regional languages.",faq
How do I fix login issues?,"Progress updates may take a few minutes. If the issue persists, contact support.",tech_support
Can mentors help with job interviews?,"Yes, mentors can assist with interview prep and technical questions.",mentorship
How do I contact GUVI support?,"Yes, many courses are available in Tamil and other regional languages.",faq
Can I learn without prior coding experience?,You can email support@guvi.in or use the chat on our website.,faq
What is covered in the UI/UX Design course?,"UI/UX Design covers hands-on projects, assessments, and certification upon completion.",course_info
How do I fix login issues?,Please check your internet connection and refresh the page.,tech_support
